Id,Geography,key,order,value
0400000US28,Mississippi,35000 to 49999,6,14.5
0400000US28,Mississippi,75000 to 99999,7,9.4
0400000US28,Mississippi,50000 to 74999,8,17.1
0400000US28,Mississippi,100000 to 149999,9,8.1
0400000US28,Mississippi,150000 to 199999,10,2.4
0400000US28,Mississippi,200000+,11,2
0400000US29,Missouri,Total,1,2353778
0400000US29,Missouri,<10000,2,8.1
0400000US29,Missouri,10000 to 14999,3,6.1
0400000US29,Missouri,15000 to 24999,4,12.1
0400000US29,Missouri,25000 to 34999,5,11.5
0400000US29,Missouri,35000 to 49999,6,15
0400000US29,Missouri,75000 to 99999,7,11.5
0400000US29,Missouri,50000 to 74999,8,18.8
0400000US29,Missouri,100000 to 149999,9,10.5
0400000US29,Missouri,150000 to 199999,10,3.5
0400000US29,Missouri,200000+,11,2.9
0400000US30,Montana,Total,1,405504
0400000US30,Montana,<10000,2,7.3
0400000US30,Montana,10000 to 14999,3,6.7
0400000US30,Montana,15000 to 24999,4,12.8
0400000US30,Montana,25000 to 34999,5,11.8
0400000US30,Montana,35000 to 49999,6,14.9
0400000US30,Montana,75000 to 99999,7,11.4
0400000US30,Montana,50000 to 74999,8,19.4
0400000US30,Montana,100000 to 149999,9,10.3
0400000US30,Montana,150000 to 199999,10,2.6
0400000US30,Montana,200000+,11,2.6
0400000US31,Nebraska,Total,1,729572
0400000US31,Nebraska,<10000,2,6.3
0400000US31,Nebraska,10000 to 14999,3,5.4
0400000US31,Nebraska,15000 to 24999,4,11
0400000US31,Nebraska,25000 to 34999,5,11
0400000US31,Nebraska,35000 to 49999,6,14.9
0400000US31,Nebraska,75000 to 99999,7,12.9
0400000US31,Nebraska,50000 to 74999,8,20
0400000US31,Nebraska,100000 to 149999,9,11.9
0400000US31,Nebraska,150000 to 199999,10,3.5
0400000US31,Nebraska,200000+,11,3.2
0400000US32,Nevada,Total,1,995980
0400000US32,Nevada,<10000,2,6.8
0400000US32,Nevada,10000 to 14999,3,4.9
0400000US32,Nevada,15000 to 24999,4,10.9
0400000US32,Nevada,25000 to 34999,5,11.2
0400000US32,Nevada,35000 to 49999,6,15.3
0400000US32,Nevada,75000 to 99999,7,12.1
0400000US32,Nevada,50000 to 74999,8,19.7
0400000US32,Nevada,100000 to 149999,9,11.9
0400000US32,Nevada,150000 to 199999,10,3.9
0400000US32,Nevada,200000+,11,3.2
0400000US33,New Hampshire,Total,1,518088
0400000US33,New Hampshire,<10000,2,4.5
0400000US33,New Hampshire,10000 to 14999,3,4.2
0400000US33,New Hampshire,15000 to 24999,4,8.5
0400000US33,New Hampshire,25000 to 34999,5,8.8
0400000US33,New Hampshire,35000 to 49999,6,12.6
0400000US33,New Hampshire,75000 to 99999,7,14.3
0400000US33,New Hampshire,50000 to 74999,8,18.5
0400000US33,New Hampshire,100000 to 149999,9,16.7
0400000US33,New Hampshire,150000 to 199999,10,6.4
